Date,Year,Month,Day,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-01-02,2015,1,2,00,2015-00,35.27,35.31,34.41,34.84,9756700.0,27.88,0.0,27.88,27.88
2015-01-05,2015,1,5,01,2015-01,34.98,35.25,34.07,34.33,16223000.0,27.47,-0.014638271205434261,27.674999999999997,27.674999999999997
2015-01-06,2015,1,6,01,2015-01,34.41,35.22,34.1,34.85,17747600.0,27.89,0.015146924332864575,27.746666666666666,27.746666666666666
2015-01-07,2015,1,7,01,2015-01,35.23,35.95,35.04,35.84,19319200.0,28.68,0.02840740125697927,27.98,27.98
2015-01-08,2015,1,8,01,2015-01,36.06,36.45,35.8,36.2,15206600.0,28.97,0.010044604334632279,28.177999999999997,28.177999999999997
2015-01-09,2015,1,9,01,2015-01,36.21,36.37,35.41,35.59,14690600.0,28.48,-0.016850605624401105,28.228333333333335,28.228333333333335
2015-01-12,2015,1,12,02,2015-02,35.81,35.94,35.47,35.84,10656700.0,28.68,0.007024254953337694,28.292857142857144,28.292857142857144
2015-01-13,2015,1,13,02,2015-02,36.08,36.4,34.68,35.25,21893500.0,28.21,-0.016462151158077365,28.2825,28.2825
2015-01-14,2015,1,14,02,2015-02,34.36,34.57,33.59,34.3,27901300.0,27.45,-0.026950079245250058,28.19,28.19
2015-01-15,2015,1,15,02,2015-02,34.78,34.87,33.38,33.43,19437400.0,26.75,-0.025364381668059655,28.046,28.046
2015-01-16,2015,1,16,02,2015-02,33.31,33.79,33.27,33.68,17780000.0,26.95,0.007478110148527728,27.946363636363632,27.946363636363632
2015-01-20,2015,1,20,03,2015-03,33.9,34.01,33.35,33.93,12052500.0,27.15,0.007422744645553259,27.88,27.88
2015-01-21,2015,1,21,03,2015-03,33.82,34.12,33.52,33.89,14349900.0,27.12,-0.0011787761563790689,27.821538461538463,27.821538461538463
2015-01-22,2015,1,22,03,2015-03,34.15,34.18,33.31,33.82,14261100.0,27.06,-0.002065855445821607,27.767142857142858,27.767142857142858
2015-01-23,2015,1,23,03,2015-03,33.9,34.18,33.71,33.75,13990200.0,27.01,-0.0020694272655834567,27.705000000000002,27.716666666666665
2015-01-26,2015,1,26,04,2015-04,33.71,34.04,33.6,33.7,10824800.0,26.97,-0.0014816110102646718,27.66928571428571,27.669999999999998
2015-01-27,2015,1,27,04,2015-04,33.4,33.69,33.15,33.42,14793300.0,26.74,-0.008308526553674866,27.587142857142855,27.615294117647057
2015-01-28,2015,1,28,04,2015-04,33.51,33.57,32.75,32.84,16936200.0,26.28,-0.01735479797394457,27.415714285714284,27.54111111111111
2015-01-29,2015,1,29,04,2015-04,32.91,33.34,32.36,33.16,15819200.0,26.54,0.009744151516754895,27.242142857142856,27.488421052631576
2015-01-30,2015,1,30,04,2015-04,32.88,33.15,32.62,32.62,19166500.0,26.1,-0.016284868318528933,27.072142857142858,27.419
2015-02-02,2015,2,2,05,2015-05,32.67,33.15,32.44,33.11,18397000.0,26.5,0.015021665266157669,26.916428571428572,27.375238095238096
2015-02-03,2015,2,3,05,2015-05,33.5,34.2,33.44,33.98,26207000.0,27.19,0.026275928601370735,26.84357142857143,27.366818181818186
2015-02-04,2015,2,4,05,2015-05,35.27,35.98,34.15,35.83,49298100.0,28.67,0.05444399863075966,26.930714285714288,27.423478260869565
2015-02-05,2015,2,5,05,2015-05,36.28,36.6,36.01,36.25,20854900.0,29.01,0.011721807491339664,27.092142857142857,27.489583333333332
2015-02-06,2015,2,6,05,2015-05,36.26,36.54,35.92,36.0,16320400.0,28.81,-0.0068964324618897566,27.225,27.542399999999997
2015-02-09,2015,2,9,06,2015-06,35.79,36.1,35.51,36.0,14797500.0,28.81,0.0,27.34357142857143,27.591153846153848
2015-02-10,2015,2,10,06,2015-06,37.28,37.55,36.4,37.52,32369400.0,30.02,0.042222366264798916,27.550714285714285,27.68111111111111
2015-02-11,2015,2,11,06,2015-06,37.51,37.86,37.28,37.67,22634000.0,30.14,0.0039977722250692516,27.770714285714284,27.76892857142857
2015-02-12,2015,2,12,06,2015-06,37.85,38.18,37.73,38.02,15537400.0,30.42,0.00929120283681617,28.014285714285712,27.860344827586207
2015-02-13,2015,2,13,06,2015-06,37.93,38.07,37.35,37.62,14696300.0,30.1,-0.010520632608400304,28.237857142857145,27.935
2015-02-17,2015,2,17,07,2015-07,37.2,37.47,37.05,37.24,13147100.0,29.8,-0.010101296173873786,28.456428571428575,27.99516129032258
2015-02-18,2015,2,18,07,2015-07,37.25,37.48,37.13,37.19,8513300.0,29.76,-0.0013426318874849574,28.705000000000002,28.0503125
